requestedUrl	url	success	statusCode	errorNo	error
http://chemel.fr/	http://chemel.fr/	1	200	0	
http://blog.chemel.fr/	http://blog.chemel.fr/	1	200	0	
http://korben.info/	http://korben.info/	1	200	0	
